CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
120050,2020,12.0,668,0.017964071856287425
120060,2012,7.0,1158,0.006044905008635579
120060,2013,15.0,1138,0.013181019332161687
120060,2014,14.0,1230,0.011382113821138212
120060,2015,21.0,1165,0.018025751072961373
120060,2016,17.0,1078,0.015769944341372914
120060,2017,20.0,1132,0.0176678445229682
120060,2018,7.0,1193,0.00586756077116513
120060,2019,21.0,1143,0.01837270341207349
120060,2020,22.0,1161,0.018949181739879414
120070,2012,0.0,311,0.0
120070,2013,10.0,294,0.034013605442176874
120070,2014,8.0,306,0.026143790849673203
120070,2015,3.0,322,0.009316770186335404
120070,2016,3.0,329,0.00911854103343465
120070,2017,6.0,305,0.019672131147540985
120070,2018,2.0,325,0.006153846153846154
120070,2019,9.0,297,0.030303030303030304
120070,2020,2.0,316,0.006329113924050633
120080,2012,10.0,346,0.028901734104046242
120080,2013,8.0,362,0.022099447513812154
120080,2014,4.0,368,0.010869565217391304
120080,2015,3.0,358,0.008379888268156424
120080,2016,4.0,356,0.011235955056179775
120080,2017,8.0,430,0.018604651162790697
120080,2018,6.0,392,0.015306122448979591
120080,2019,8.0,379,0.021108179419525065
120080,2020,15.0,361,0.04155124653739612
130000,2012,0.0,8,0.0
130000,2013,0.0,18,0.0
130000,2014,0.0,23,0.0
130000,2015,0.0,18,0.0
130000,2016,0.0,25,0.0
130000,2017,0.0,17,0.0
130000,2018,0.0,25,0.0
130000,2019,0.0,12,0.0
130000,2020,2.0,41,0.04878048780487805
130002,2012,0.0,320,0.0
